"Number","GPO","Title","Type","Expected","Actual","Status","Details"
"1.1.2","","Ensure 'Maximum password age' is set to '365 or fewer days, but not 0' (Automated)","AccountPolicy","365 or fewer days, but not 0","180","PASS",""
"1.1.7","","Ensure 'Store passwords using reversible encryption' is set to 'Disabled' (Automated)","AccountPolicy","Disabled","1","FAIL",""
"1.2.1","","Ensure 'Account lockout duration' is set to '15 or more minute(s)' (Automated)","AccountPolicy","15 or more minute(s)","-1","FAIL",""
"1.2.4","","Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)' (Automated)","AccountPolicy","15 or more minute(s)","1440","PASS",""
"17.1.1","Enterprise -Audit Settings","Ensure 'Audit Credential Validation' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.2.1","Enterprise -Audit Settings","Ensure 'Audit Application Group Management' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.2.2","Enterprise -Audit Settings","Ensure 'Audit Security Group Management' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.2.3","Enterprise -Audit Settings","Ensure 'Audit User Account Management' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.3.1","Enterprise -Audit Settings","Ensure 'Audit PNP Activity' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.3.2","Enterprise -Audit Settings","Ensure 'Audit Process Creation' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.5.1","Enterprise -Audit Settings","Ensure 'Audit Account Lockout' is set to include 'Failure' (Automated)","AuditPol","Failure","NOT FOUND","MISSING","auditpol output not parsed"
"17.5.2","Enterprise -Audit Settings","Ensure 'Audit Group Membership' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.5.3","Enterprise -Audit Settings","Ensure 'Audit Logoff' is set to include 'Success' (Automated)","AuditPol","Success","NOT FOUND","MISSING","auditpol output not parsed"
"17.5.4","Enterprise -Audit Settings","Ensure 'Audit Logon' is set to 'Success and Failure' (Automated)","AuditPol","Success and Failure","NOT FOUND","MISSING","auditpol output not parsed"
